swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
59,H,Z,0.3640,0.0039,0.0015,0.0003,0.0055,0.2523,0.7495,0.3628,0.0526,0.1562,0.0018,0.0778,0.0003,1.5881,2.0454,3346.942
60,Z,H,0.3401,0.0058,0.0017,0.0004,0.0058,0.2453,0.7721,0.5928,0.0902,0.1716,0.0019,0.0763,0.0008,1.8867,2.3218,3399.333
61,H,Z,0.3002,0.0036,0.0014,0.0006,0.0039,0.2253,0.6411,0.3517,0.0535,0.1685,0.0011,0.0665,0.0004,1.4518,1.8314,3451.249
62,Z,H,0.3253,0.0050,0.0014,0.0007,0.0054,0.2372,0.7813,0.5197,0.0861,0.1619,0.0014,0.0639,0.0005,1.7996,2.2052,3503.506
63,H,Z,0.3813,0.0057,0.0014,0.0006,0.0059,0.2488,0.7651,0.5626,0.0912,0.1488,0.0009,0.0932,0.0003,1.8309,2.3222,3555.894
64,Z,H,0.3083,0.0052,0.0015,0.0004,0.0045,0.2329,0.6680,0.3595,0.0550,0.1782,0.0013,0.0610,0.0004,1.5050,1.8904,3607.859
65,H,Z,0.3820,0.0049,0.0014,0.0005,0.0044,0.2565,0.6591,0.3312,0.0466,0.1789,0.0012,0.1034,0.0003,1.4821,1.9826,3659.894
66,Z,H,0.3362,0.0053,0.0012,0.0004,0.0063,0.3251,0.6652,0.3732,0.2567,0.1473,0.0018,0.0752,0.0003,1.7846,2.2135,3712.286
67,H,Z,0.3807,0.0076,0.0022,0.0007,0.0064,0.2646,0.7596,0.6019,0.0938,0.1564,0.0184,0.0883,0.0005,1.8895,2.3969,3764.759
68,Z,H,0.3329,0.0050,0.0018,0.0007,0.0051,0.2236,0.6246,0.3354,0.0493,0.1583,0.0010,0.0500,0.0003,1.4019,1.8015,3816.616
69,H,Z,0.3541,0.0057,0.0017,0.0007,0.0067,0.2432,0.7801,0.5473,0.1790,0.1865,0.0014,0.0556,0.0003,1.9551,2.3836,3869.097
70,Z,H,0.4191,0.0066,0.0016,0.0004,0.0066,0.3043,0.9233,0.5386,0.0661,0.1726,0.0008,0.0659,0.0002,2.0181,2.5218,3921.679
71,H,Z,0.3472,0.0043,0.0015,0.0006,0.0058,0.2503,0.7736,0.5610,0.0902,0.1632,0.0055,0.0705,0.0002,1.8537,2.2912,3974.042
72,Z,H,0.3844,0.0042,0.0014,0.0006,0.0042,0.3161,0.6350,0.3654,0.0510,0.1476,0.0264,0.0533,0.0002,1.5276,2.0042,4026.107
73,H,Z,0.3653,0.0041,0.0011,0.0004,0.0039,0.3931,0.7503,0.5449,0.0821,0.2179,0.0010,0.0688,0.0004,1.9975,2.4444,4078.604
74,Z,H,0.3093,0.0053,0.0012,0.0004,0.0049,0.2436,0.7836,0.3921,0.0568,0.1594,0.0019,0.0743,0.0004,1.6504,2.0499,4130.732
75,H,Z,0.3579,0.0035,0.0017,0.0003,0.0043,0.2406,0.5356,0.3507,0.0520,0.1853,0.0021,0.0889,0.0004,1.3767,1.8387,4182.651
76,Z,H,0.2965,0.0039,0.0011,0.0003,0.0032,0.2042,0.5054,0.3454,0.0501,0.1410,0.0197,0.0795,0.0002,1.2579,1.6641,4234.375
77,H,Z,0.2684,0.0034,0.0010,0.0003,0.0036,0.2231,0.5903,0.3049,0.0525,0.1418,0.0386,0.0643,0.0002,1.3217,1.7034,4286.128
78,Z,H,0.3452,0.0045,0.0013,0.0004,0.0060,0.2394,0.7469,0.5733,0.0929,0.1917,0.0011,0.0515,0.0003,1.8563,2.2685,4338.447
79,H,Z,0.2789,0.0033,0.0011,0.0002,0.0034,0.2181,0.5032,0.3425,0.0505,0.2572,0.0018,0.0777,0.0002,1.3833,1.7516,4390.243
80,Z,H,0.2853,0.0037,0.0011,0.0004,0.0033,0.2062,0.5279,0.3387,0.0502,0.1707,0.0007,0.0864,0.0003,1.3034,1.6866,4441.976
81,H,Z,0.2974,0.0033,0.0010,0.0004,0.0032,0.2052,0.6210,0.3039,0.0498,0.1480,0.0011,0.0501,0.0003,1.3406,1.6992,4493.728
82,Z,H,0.3308,0.0051,0.0012,0.0004,0.0048,0.2445,0.7257,0.5271,0.0959,0.1478,0.0597,0.0516,0.0003,1.7545,2.2106,4546.019
83,H,Z,0.2981,0.0038,0.0010,0.0003,0.0033,0.2290,0.5950,0.3408,0.0552,0.1198,0.0012,0.0582,0.0003,1.3511,1.7191,4597.804
84,Z,H,0.3057,0.0045,0.0011,0.0004,0.0044,0.2349,0.7090,0.5349,0.0827,0.1170,0.0070,0.0679,0.0003,1.6884,2.0819,4649.950
