from_label,to_label,from_mhz,to_mhz,ms
Z17,Z15,2435.000,2425.000,5.744
Z17,Z16,2435.000,2430.000,5.882
Z17,Z17,2435.000,2435.000,1.441
Z17,Z18,2435.000,2440.000,5.850
Z17,Z19,2435.000,2445.000,5.869
Z17,Z20,2435.000,2450.000,5.767
Z17,Z21,2435.000,2455.000,5.902
Z17,Z22,2435.000,2460.000,5.860
Z17,Z23,2435.000,2465.000,6.115
Z17,Z24,2435.000,2470.000,5.929
Z17,Z25,2435.000,2475.000,5.900
Z17,Z26,2435.000,2480.000,5.932
Z17,H1,2435.000,902.500,26.855
Z17,H2,2435.000,903.500,27.054
Z17,H3,2435.000,904.500,26.886
Z17,H4,2435.000,905.500,27.099
Z17,H5,2435.000,906.500,26.984
Z17,H6,2435.000,907.500,27.142
Z17,H7,2435.000,908.500,27.054
Z17,H8,2435.000,909.500,27.122
Z17,H9,2435.000,910.500,27.128
Z17,H10,2435.000,911.500,27.304
Z17,H11,2435.000,912.500,26.740
Z17,H12,2435.000,913.500,27.165
Z17,H13,2435.000,914.500,27.004
Z17,H14,2435.000,915.500,26.788
Z17,H15,2435.000,916.500,26.780
Z17,H16,2435.000,917.500,26.807
Z17,H17,2435.000,918.500,27.183
Z17,H18,2435.000,919.500,26.853
Z17,H19,2435.000,920.500,27.116
Z17,H20,2435.000,921.500,26.898
Z17,H21,2435.000,922.500,26.952
Z17,H22,2435.000,923.500,26.761
Z17,H23,2435.000,924.500,26.935
Z17,H24,2435.000,925.500,26.952
Z17,H25,2435.000,926.500,27.120
Z17,H26,2435.000,927.500,26.845
Z18,Z11,2440.000,2405.000,5.884
Z18,Z12,2440.000,2410.000,5.886
Z18,Z13,2440.000,2415.000,5.936
Z18,Z14,2440.000,2420.000,5.824
Z18,Z15,2440.000,2425.000,5.874
Z18,Z16,2440.000,2430.000,5.949
Z18,Z17,2440.000,2435.000,5.813
Z18,Z18,2440.000,2440.000,5.940
Z18,Z19,2440.000,2445.000,5.989
Z18,Z20,2440.000,2450.000,5.812
Z18,Z21,2440.000,2455.000,5.908
Z18,Z22,2440.000,2460.000,6.416
Z18,Z23,2440.000,2465.000,5.918
Z18,Z24,2440.000,2470.000,5.899
Z18,Z25,2440.000,2475.000,5.853
Z18,Z26,2440.000,2480.000,5.854
Z18,H1,2440.000,902.500,26.586
Z18,H2,2440.000,903.500,26.784
Z18,H3,2440.000,904.500,26.772
Z18,H4,2440.000,905.500,26.720
Z18,H5,2440.000,906.500,26.831
Z18,H6,2440.000,907.500,27.132
Z18,H7,2440.000,908.500,27.084
Z18,H8,2440.000,909.500,26.979
Z18,H9,2440.000,910.500,27.135
Z18,H10,2440.000,911.500,27.231
Z18,H11,2440.000,912.500,26.823
Z18,H12,2440.000,913.500,27.013
Z18,H13,2440.000,914.500,26.752
Z18,H14,2440.000,915.500,26.909
Z18,H15,2440.000,916.500,26.836
Z18,H16,2440.000,917.500,26.816
Z18,H17,2440.000,918.500,26.819
Z18,H18,2440.000,919.500,26.858
Z18,H19,2440.000,920.500,26.979
Z18,H20,2440.000,921.500,27.226
Z18,H21,2440.000,922.500,26.965
Z18,H22,2440.000,923.500,26.893
Z18,H23,2440.000,924.500,26.915
Z18,H24,2440.000,925.500,27.005
Z18,H25,2440.000,926.500,27.174
Z18,H26,2440.000,927.500,27.011
Z19,Z11,2445.000,2405.000,5.959
Z19,Z12,2445.000,2410.000,6.187
Z19,Z13,2445.000,2415.000,5.991
Z19,Z14,2445.000,2420.000,5.945
Z19,Z15,2445.000,2425.000,6.072
Z19,Z16,2445.000,2430.000,5.916
Z19,Z17,2445.000,2435.000,6.409
Z19,Z18,2445.000,2440.000,5.835
Z19,Z19,2445.000,2445.000,1.475
Z19,Z20,2445.000,2450.000,5.792
Z19,Z21,2445.000,2455.000,5.865
Z19,Z22,2445.000,2460.000,5.893
Z19,Z23,2445.000,2465.000,5.873
Z19,Z24,2445.000,2470.000,5.884
Z19,Z25,2445.000,2475.000,5.894
Z19,Z26,2445.000,2480.000,5.826
Z19,H1,2445.000,902.500,26.752
Z19,H2,2445.000,903.500,26.999
Z19,H3,2445.000,904.500,26.909
Z19,H4,2445.000,905.500,27.113
Z19,H5,2445.000,906.500,26.876
Z19,H6,2445.000,907.500,26.873
Z19,H7,2445.000,908.500,26.813
Z19,H8,2445.000,909.500,26.848
Z19,H9,2445.000,910.500,26.942
Z19,H10,2445.000,911.500,26.849
Z19,H11,2445.000,912.500,26.770
Z19,H12,2445.000,913.500,26.963
Z19,H13,2445.000,914.500,26.714
Z19,H14,2445.000,915.500,26.840
Z19,H15,2445.000,916.500,26.848
Z19,H16,2445.000,917.500,27.033
Z19,H17,2445.000,918.500,27.104
Z19,H18,2445.000,919.500,27.204
Z19,H19,2445.000,920.500,26.782
Z19,H20,2445.000,921.500,26.992
Z19,H21,2445.000,922.500,26.795
Z19,H22,2445.000,923.500,26.721
Z19,H23,2445.000,924.500,26.847
Z19,H24,2445.000,925.500,26.761
Z19,H25,2445.000,926.500,27.067
Z19,H26,2445.000,927.500,27.136
Z20,Z11,2450.000,2405.000,6.258
Z20,Z12,2450.000,2410.000,5.885
Z20,Z13,2450.000,2415.000,5.963
Z20,Z14,2450.000,2420.000,5.798
Z20,Z15,2450.000,2425.000,5.888
Z20,Z16,2450.000,2430.000,5.924
Z20,Z17,2450.000,2435.000,5.876
Z20,Z18,2450.000,2440.000,6.038
Z20,Z19,2450.000,2445.000,5.883
Z20,Z20,2450.000,2450.000,6.178
Z20,Z21,2450.000,2455.000,5.922
Z20,Z22,2450.000,2460.000,5.849
Z20,Z23,2450.000,2465.000,5.856
Z20,Z24,2450.000,2470.000,5.914
Z20,Z25,2450.000,2475.000,5.890
Z20,Z26,2450.000,2480.000,5.821
Z20,H1,2450.000,902.500,26.608
Z20,H2,2450.000,903.500,26.703
Z20,H3,2450.000,904.500,26.818
Z20,H4,2450.000,905.500,26.755
Z20,H5,2450.000,906.500,26.857
Z20,H6,2450.000,907.500,26.785
Z20,H7,2450.000,908.500,26.785
Z20,H8,2450.000,909.500,26.827
Z20,H9,2450.000,910.500,26.791
Z20,H10,2450.000,911.500,26.983
Z20,H11,2450.000,912.500,26.658
Z20,H12,2450.000,913.500,26.704
Z20,H13,2450.000,914.500,26.760
Z20,H14,2450.000,915.500,26.842
Z20,H15,2450.000,916.500,26.970
Z20,H16,2450.000,917.500,26.990
Z20,H17,2450.000,918.500,26.771
Z20,H18,2450.000,919.500,27.060
Z20,H19,2450.000,920.500,26.817
Z20,H20,2450.000,921.500,26.829
Z20,H21,2450.000,922.500,26.716
Z20,H22,2450.000,923.500,26.730
Z20,H23,2450.000,924.500,26.667
Z20,H24,2450.000,925.500,26.756
Z20,H25,2450.000,926.500,26.728
Z20,H26,2450.000,927.500,26.786
Z21,Z11,2455.000,2405.000,5.822
Z21,Z12,2455.000,2410.000,5.891
Z21,Z13,2455.000,2415.000,5.922
Z21,Z14,2455.000,2420.000,5.791
Z21,Z15,2455.000,2425.000,5.721
Z21,Z16,2455.000,2430.000,5.867
Z21,Z17,2455.000,2435.000,5.904
Z21,Z18,2455.000,2440.000,5.819
Z21,Z19,2455.000,2445.000,5.910
Z21,Z20,2455.000,2450.000,5.802
Z21,Z21,2455.000,2455.000,1.478
Z21,Z22,2455.000,2460.000,5.857
Z21,Z23,2455.000,2465.000,5.853
Z21,Z24,2455.000,2470.000,5.920
Z21,Z25,2455.000,2475.000,5.875
Z21,Z26,2455.000,2480.000,5.841
Z21,H1,2455.000,902.500,26.800
Z21,H2,2455.000,903.500,26.947
Z21,H3,2455.000,904.500,26.952
Z21,H4,2455.000,905.500,26.818
Z21,H5,2455.000,906.500,26.782
Z21,H6,2455.000,907.500,26.895
Z21,H7,2455.000,908.500,26.959
Z21,H8,2455.000,909.500,26.928
Z21,H9,2455.000,910.500,26.829
Z21,H10,2455.000,911.500,27.378
Z21,H11,2455.000,912.500,26.736
Z21,H12,2455.000,913.500,26.751
Z21,H13,2455.000,914.500,26.754
Z21,H14,2455.000,915.500,26.734
Z21,H15,2455.000,916.500,26.746
Z21,H16,2455.000,917.500,26.824
Z21,H17,2455.000,918.500,26.788
Z21,H18,2455.000,919.500,26.950
Z21,H19,2455.000,920.500,26.774
Z21,H20,2455.000,921.500,27.129
Z21,H21,2455.000,922.500,26.738
Z21,H22,2455.000,923.500,26.858
Z21,H23,2455.000,924.500,26.618
Z21,H24,2455.000,925.500,26.944
Z21,H25,2455.000,926.500,26.769
Z21,H26,2455.000,927.500,26.801
Z22,Z11,2460.000,2405.000,6.091
Z22,Z12,2460.000,2410.000,5.863
Z22,Z13,2460.000,2415.000,5.920
Z22,Z14,2460.000,2420.000,5.792
Z22,Z15,2460.000,2425.000,5.757
Z22,Z16,2460.000,2430.000,5.857
Z22,Z17,2460.000,2435.000,6.025
Z22,Z18,2460.000,2440.000,5.833
Z22,Z19,2460.000,2445.000,5.946
Z22,Z20,2460.000,2450.000,5.788
Z22,Z21,2460.000,2455.000,5.929
Z22,Z22,2460.000,2460.000,5.864
Z22,Z23,2460.000,2465.000,5.884
Z22,Z24,2460.000,2470.000,5.862
Z22,Z25,2460.000,2475.000,6.155
Z22,Z26,2460.000,2480.000,5.839
Z22,H1,2460.000,902.500,26.872
Z22,H2,2460.000,903.500,27.025
Z22,H3,2460.000,904.500,27.014
Z22,H4,2460.000,905.500,27.126
Z22,H5,2460.000,906.500,26.909
Z22,H6,2460.000,907.500,27.614
