from_label,to_label,from_mhz,to_mhz,ms
Z19,Z25,2445.000,2475.000,1.200
Z19,Z26,2445.000,2480.000,1.181
Z19,H1,2445.000,902.500,1.161
Z19,H2,2445.000,903.500,1.311
Z19,H3,2445.000,904.500,1.202
Z19,H4,2445.000,905.500,1.469
Z19,H5,2445.000,906.500,1.292
Z19,H6,2445.000,907.500,1.189
Z19,H7,2445.000,908.500,1.299
Z19,H8,2445.000,909.500,1.388
Z19,H9,2445.000,910.500,1.336
Z19,H10,2445.000,911.500,1.333
Z19,H11,2445.000,912.500,1.335
Z19,H12,2445.000,913.500,1.193
Z19,H13,2445.000,914.500,1.378
Z19,H14,2445.000,915.500,1.322
Z19,H15,2445.000,916.500,1.262
Z19,H16,2445.000,917.500,1.274
Z19,H17,2445.000,918.500,1.264
Z19,H18,2445.000,919.500,1.328
Z19,H19,2445.000,920.500,1.262
Z19,H20,2445.000,921.500,1.257
Z19,H21,2445.000,922.500,1.248
Z19,H22,2445.000,923.500,1.298
Z19,H23,2445.000,924.500,1.206
Z19,H24,2445.000,925.500,1.300
Z19,H25,2445.000,926.500,1.200
Z19,H26,2445.000,927.500,1.289
Z20,Z11,2450.000,2405.000,1.357
Z20,Z12,2450.000,2410.000,1.252
Z20,Z13,2450.000,2415.000,1.321
Z20,Z14,2450.000,2420.000,1.360
Z20,Z15,2450.000,2425.000,1.253
Z20,Z16,2450.000,2430.000,1.272
Z20,Z17,2450.000,2435.000,1.301
Z20,Z18,2450.000,2440.000,1.368
Z20,Z19,2450.000,2445.000,1.255
Z20,Z20,2450.000,2450.000,0.376
Z20,Z21,2450.000,2455.000,1.325
Z20,Z22,2450.000,2460.000,1.259
Z20,Z23,2450.000,2465.000,1.313
Z20,Z24,2450.000,2470.000,1.180
Z20,Z25,2450.000,2475.000,1.225
Z20,Z26,2450.000,2480.000,1.266
Z20,H1,2450.000,902.500,1.181
Z20,H2,2450.000,903.500,1.309
Z20,H3,2450.000,904.500,1.287
Z20,H4,2450.000,905.500,1.285
Z20,H5,2450.000,906.500,1.257
Z20,H6,2450.000,907.500,1.218
Z20,H7,2450.000,908.500,1.248
Z20,H8,2450.000,909.500,1.355
Z20,H9,2450.000,910.500,1.345
Z20,H10,2450.000,911.500,1.183
Z20,H11,2450.000,912.500,1.296
Z20,H12,2450.000,913.500,1.194
Z20,H13,2450.000,914.500,1.225
Z20,H14,2450.000,915.500,1.208
Z20,H15,2450.000,916.500,1.219
Z20,H16,2450.000,917.500,1.226
Z20,H17,2450.000,918.500,1.210
Z20,H18,2450.000,919.500,1.190
Z20,H19,2450.000,920.500,1.267
Z20,H20,2450.000,921.500,1.202
Z20,H21,2450.000,922.500,1.230
Z20,H22,2450.000,923.500,1.221
Z20,H23,2450.000,924.500,1.230
Z20,H24,2450.000,925.500,1.211
Z20,H25,2450.000,926.500,1.446
Z20,H26,2450.000,927.500,1.218
Z21,Z11,2455.000,2405.000,1.286
Z21,Z12,2455.000,2410.000,1.248
Z21,Z13,2455.000,2415.000,1.297
Z21,Z14,2455.000,2420.000,1.339
Z21,Z15,2455.000,2425.000,1.313
Z21,Z16,2455.000,2430.000,1.310
Z21,Z17,2455.000,2435.000,1.302
Z21,Z18,2455.000,2440.000,1.170
Z21,Z19,2455.000,2445.000,1.372
Z21,Z20,2455.000,2450.000,1.412
Z21,Z21,2455.000,2455.000,0.319
Z21,Z22,2455.000,2460.000,1.375
Z21,Z23,2455.000,2465.000,1.234
Z21,Z24,2455.000,2470.000,1.247
Z21,Z25,2455.000,2475.000,1.184
Z21,Z26,2455.000,2480.000,1.191
Z21,H1,2455.000,902.500,1.162
Z21,H2,2455.000,903.500,1.182
Z21,H3,2455.000,904.500,1.222
Z21,H4,2455.000,905.500,1.197
Z21,H5,2455.000,906.500,1.163
Z21,H6,2455.000,907.500,1.212
Z21,H7,2455.000,908.500,1.288
Z21,H8,2455.000,909.500,1.234
Z21,H9,2455.000,910.500,1.278
Z21,H10,2455.000,911.500,1.312
