method,iteration,from_hz,to_hz,time_us
soapy,326,5266011000,930175000,115457.7
soapy,327,930175000,5390106000,116504.7
soapy,328,5390106000,714225000,117130.2
soapy,329,714225000,3812745000,116479.9
soapy,330,3812745000,1500165000,11034.2
soapy,331,1500165000,1674973000,10366.9
soapy,332,1674973000,3076262000,10524.2
soapy,333,3076262000,740744000,118080.9
soapy,334,740744000,885767000,10550.3
soapy,335,885767000,5535647000,117091.9
soapy,336,5535647000,4365231000,10450.5
soapy,337,4365231000,2121770000,113913.6
soapy,338,2121770000,5699496000,116263.7
soapy,339,5699496000,4060881000,10398.5
soapy,340,4060881000,275697000,114941.5
soapy,341,275697000,1682451000,116398.0
soapy,342,1682451000,2591995000,10639.9
soapy,343,2591995000,2507630000,10442.1
soapy,344,2507630000,5446121000,115326.7
soapy,345,5446121000,385493000,116888.0
soapy,346,385493000,1975497000,116246.8
soapy,347,1975497000,1573786000,10904.0
soapy,348,1573786000,3076262000,10256.6
soapy,349,3076262000,1715839000,10573.0
soapy,350,1715839000,2770149000,10504.4
soapy,351,2770149000,991104000,117092.2
soapy,352,991104000,930175000,10445.2
soapy,353,930175000,4409125000,118032.9
soapy,354,4409125000,187049000,118514.9
soapy,355,187049000,2964396000,114609.7
soapy,356,2964396000,3932533000,10953.1
soapy,357,3932533000,1674973000,10705.0
soapy,358,1674973000,930938000,115176.1
soapy,359,930938000,1745151000,115459.8
soapy,360,1745151000,939019000,114083.2
soapy,361,939019000,4365231000,115690.4
soapy,362,4365231000,2639408000,114566.1
soapy,363,2639408000,536937000,115085.5
soapy,364,536937000,2443509000,113786.0
soapy,365,2443509000,586810000,113980.2
soapy,366,586810000,2410628000,112992.1
soapy,367,2410628000,2006090000,10393.7
soapy,368,2006090000,991104000,113973.2
soapy,369,991104000,859700000,10433.0
soapy,370,859700000,3776695000,114540.7
soapy,371,3776695000,4055700000,114079.5
soapy,372,4055700000,1986272000,115695.0
soapy,373,1986272000,2036035000,10571.9
soapy,374,2036035000,1543358000,10715.4
soapy,375,1543358000,467996000,117873.7
soapy,376,467996000,382060000,10601.0
soapy,377,382060000,5445071000,115713.0
soapy,378,5445071000,5613745000,10408.5
soapy,379,5613745000,4973067000,10359.2
soapy,380,4973067000,715408000,115496.1
soapy,381,715408000,5433377000,116254.8
soapy,382,5433377000,997296000,116453.3
soapy,383,997296000,98608000,10620.0
soapy,384,98608000,2036035000,115794.6
soapy,385,2036035000,2691907000,10356.0
soapy,386,2691907000,300479000,115920.5
soapy,387,300479000,4633769000,116935.7
soapy,388,4633769000,5040257000,11145.4
soapy,389,5040257000,3776695000,117710.2
soapy,390,3776695000,2445400000,11023.4
soapy,391,2445400000,991104000,121829.3
soapy,392,991104000,4844746000,116718.6
soapy,393,4844746000,4848110000,10483.6
soapy,394,4848110000,339728000,114437.3
soapy,395,339728000,5336431000,114798.7
soapy,396,5336431000,714225000,115765.1
soapy,397,714225000,950742000,10977.6
soapy,398,950742000,3108797000,116054.1
soapy,399,3108797000,5156141000,116514.5
soapy,400,5156141000,2183084000,119903.4
soapy,401,2183084000,581262000,120595.8
soapy,402,581262000,3534217000,116447.2
soapy,403,3534217000,715408000,115431.2
soapy,404,715408000,3003511000,115046.0
soapy,405,3003511000,4956339000,115244.4
soapy,406,4956339000,904833000,115452.9
soapy,407,904833000,2136153000,114911.3
soapy,408,2136153000,4844746000,115433.7
soapy,409,4844746000,3217895000,119280.0
soapy,410,3217895000,3636445000,11093.4
soapy,411,3636445000,3191036000,10771.8
soapy,412,3191036000,2051607000,11228.1
soapy,413,2051607000,2930889000,11082.3
soapy,414,2930889000,3336170000,11112.9
soapy,415,3336170000,740744000,121208.7
soapy,416,740744000,3707647000,115923.5
soapy,417,3707647000,3338818000,10544.2
soapy,418,3338818000,2648007000,10794.4
soapy,419,2648007000,4934155000,116784.2
soapy,420,4934155000,3255105000,115258.7
soapy,421,3255105000,5765894000,115771.0
soapy,422,5765894000,1741726000,115249.4
soapy,423,1741726000,5839217000,115500.3
soapy,424,5839217000,3338818000,114574.3
soapy,425,3338818000,2667158000,10455.5
soapy,426,2667158000,2073885000,10445.6
soapy,427,2073885000,4082903000,116283.5
soapy,428,4082903000,4126545000,10925.1
soapy,429,4126545000,5040257000,10930.9
soapy,430,5040257000,5839217000,10737.7
soapy,431,5839217000,3620791000,115285.4
soapy,432,3620791000,3255105000,10621.9
soapy,433,3255105000,715408000,115514.3
soapy,434,715408000,5736705000,115504.2
soapy,435,5736705000,388205000,115867.9
soapy,436,388205000,4881068000,113889.5
soapy,437,4881068000,382060000,116788.6
soapy,438,382060000,991104000,10532.6
soapy,439,991104000,2743753000,116197.6
soapy,440,2743753000,4055700000,116843.8
soapy,441,4055700000,3383607000,115326.7
soapy,442,3383607000,5800861000,115744.1
soapy,443,5800861000,385493000,115436.9
soapy,444,385493000,5181065000,118314.9
soapy,445,5181065000,3225462000,118450.1
soapy,446,3225462000,5699496000,116364.9
soapy,447,5699496000,1307887000,115185.4
soapy,448,1307887000,3383607000,10407.8
soapy,449,3383607000,1375980000,10698.6
soapy,450,1375980000,4956339000,117292.7
soapy,451,4956339000,3984159000,114955.8
soapy,452,3984159000,1375980000,10557.9
soapy,453,1375980000,382060000,116201.0
soapy,454,382060000,859700000,10540.2
soapy,455,859700000,2316856000,115618.3
soapy,456,2316856000,5568412000,114526.7
soapy,457,5568412000,5181065000,11131.1
soapy,458,5181065000,2930889000,116802.0
soapy,459,2930889000,1768286000,10960.0
soapy,460,1768286000,269156000,116540.9
soapy,461,269156000,2630112000,115019.2
soapy,462,2630112000,3881974000,10531.3
soapy,463,3881974000,3622489000,10741.2
soapy,464,3622489000,2769248000,10286.8
soapy,465,2769248000,3278689000,10700.9
soapy,466,3278689000,891714000,115886.1
soapy,467,891714000,3707647000,115778.4
soapy,468,3707647000,1573786000,10894.5
soapy,469,1573786000,536937000,116593.8
soapy,470,536937000,647129000,10680.0
soapy,471,647129000,2964396000,114898.6
soapy,472,2964396000,3384727000,10234.8
soapy,473,3384727000,385493000,114787.7
soapy,474,385493000,5328975000,115088.5
soapy,475,5328975000,1620451000,116202.7
soapy,476,1620451000,2630112000,10948.9
soapy,477,2630112000,5568412000,117202.4
soapy,478,5568412000,991725000,116711.0
soapy,479,991725000,5002199000,116481.9
soapy,480,5002199000,5404411000,10685.9
soapy,481,5404411000,991104000,115913.7
soapy,482,991104000,4881068000,114433.9
soapy,483,4881068000,2743753000,115601.5
soapy,484,2743753000,4409125000,115957.8
soapy,485,4409125000,5394187000,10482.0
soapy,486,5394187000,5613745000,10389.9
soapy,487,5613745000,4844746000,10617.9
soapy,488,4844746000,3792998000,115482.3
soapy,489,3792998000,997296000,114741.9
soapy,490,997296000,4126545000,114244.8
soapy,491,4126545000,1741726000,114238.8
soapy,492,1741726000,2639408000,10631.2
soapy,493,2639408000,246169000,114006.4
soapy,494,246169000,2067061000,114251.0
soapy,495,2067061000,2121770000,10395.7
soapy,496,2121770000,4365231000,114517.6
soapy,497,4365231000,2316856000,116553.4
soapy,498,2316856000,3112595000,10466.6
soapy,499,3112595000,4841046000,115291.0
soapy,500,4841046000,3932533000,116768.5
soapy,501,3932533000,991104000,115038.4
soapy,502,991104000,2630112000,115558.6
soapy,503,2630112000,5394187000,116636.7
soapy,504,5394187000,1243326000,116240.6
soapy,505,1243326000,3534217000,114648.2
soapy,506,3534217000,3108797000,10272.5
soapy,507,3108797000,3225462000,10405.9
soapy,508,3225462000,5448195000,114376.1
