param,from,to,run,time_ms
freq,300,900,4,12.2796
freq,300,1000,0,12.4621
freq,300,1000,1,12.2563
freq,300,1000,2,12.4790
freq,300,1000,3,12.3455
freq,300,1000,4,12.9216
freq,400,100,0,12.7123
freq,400,100,1,12.5309
freq,400,100,2,13.8701
freq,400,100,3,12.5442
freq,400,100,4,12.4492
freq,400,200,0,12.6064
freq,400,200,1,12.4350
freq,400,200,2,12.3253
freq,400,200,3,12.3892
freq,400,200,4,12.3357
freq,400,300,0,13.8936
freq,400,300,1,14.4935
freq,400,300,2,10.8840
freq,400,300,3,9.3024
freq,400,300,4,9.4235
freq,400,400,0,0.5356
freq,400,400,1,0.5360
freq,400,400,2,0.5380
freq,400,400,3,0.7083
freq,400,400,4,0.7234
freq,400,500,0,12.4865
freq,400,500,1,12.8755
freq,400,500,2,14.3164
freq,400,500,3,14.5140
freq,400,500,4,12.7356
freq,400,600,0,12.3891
freq,400,600,1,12.6682
freq,400,600,2,12.3394
freq,400,600,3,12.4276
freq,400,600,4,12.8754
freq,400,700,0,14.3795
freq,400,700,1,15.1872
freq,400,700,2,15.0084
freq,400,700,3,15.6332
freq,400,700,4,14.5909
freq,400,800,0,11.6812
freq,400,800,1,11.5063
freq,400,800,2,11.2772
freq,400,800,3,12.4772
freq,400,800,4,15.3021
freq,400,900,0,15.1006
freq,400,900,1,14.0805
freq,400,900,2,12.4716
freq,400,900,3,14.4159
freq,400,900,4,11.9043
freq,400,1000,0,12.4119
freq,400,1000,1,13.0526
freq,400,1000,2,12.3223
freq,400,1000,3,15.0549
freq,400,1000,4,13.9860
freq,500,100,0,13.1607
freq,500,100,1,13.2919
freq,500,100,2,11.8439
freq,500,100,3,11.8279
freq,500,100,4,12.2486
freq,500,200,0,14.2858
freq,500,200,1,12.4883
freq,500,200,2,12.4658
freq,500,200,3,14.3152
freq,500,200,4,14.7842
freq,500,300,0,11.6531
freq,500,300,1,12.7059
freq,500,300,2,12.3336
freq,500,300,3,14.3599
freq,500,300,4,12.5236
freq,500,400,0,15.2203
freq,500,400,1,12.4352
freq,500,400,2,12.2410
freq,500,400,3,14.5240
freq,500,400,4,13.2776
freq,500,500,0,1.0360
freq,500,500,1,0.7380
freq,500,500,2,0.8627
freq,500,500,3,1.0015
freq,500,500,4,1.0280
freq,500,600,0,14.9827
freq,500,600,1,14.5768
freq,500,600,2,12.2661
freq,500,600,3,12.5128
freq,500,600,4,14.9935
freq,500,700,0,14.9507
freq,500,700,1,14.4738
freq,500,700,2,15.7055
freq,500,700,3,15.3602
freq,500,700,4,14.6979
freq,500,800,0,12.4216
freq,500,800,1,13.2150
freq,500,800,2,15.0435
freq,500,800,3,15.1783
freq,500,800,4,15.3040
freq,500,900,0,15.3209
freq,500,900,1,9.3938
freq,500,900,2,9.3176
freq,500,900,3,9.4861
freq,500,900,4,9.4215
freq,500,1000,0,13.6632
freq,500,1000,1,11.9125
freq,500,1000,2,12.9115
freq,500,1000,3,15.4023
freq,500,1000,4,13.8632
freq,600,100,0,13.3187
freq,600,100,1,12.3583
freq,600,100,2,14.1201
freq,600,100,3,13.3070
freq,600,100,4,13.0337
freq,600,200,0,13.9146
freq,600,200,1,13.6505
freq,600,200,2,15.3690
freq,600,200,3,10.1561
freq,600,200,4,9.8131
freq,600,300,0,9.3075
freq,600,300,1,9.3444
freq,600,300,2,12.4008
freq,600,300,3,11.5674
freq,600,300,4,10.2235
freq,600,400,0,10.7914
freq,600,400,1,9.5000
freq,600,400,2,9.6317
freq,600,400,3,9.5795
freq,600,400,4,9.3160
freq,600,500,0,9.4853
freq,600,500,1,9.5755
freq,600,500,2,9.2943
freq,600,500,3,9.3333
freq,600,500,4,9.3268
freq,600,600,0,0.5430
freq,600,600,1,0.5167
freq,600,600,2,0.5379
freq,600,600,3,0.5347
freq,600,600,4,0.5331
freq,600,700,0,9.3453
freq,600,700,1,10.1420
freq,600,700,2,9.6009
freq,600,700,3,10.2296
freq,600,700,4,9.0792
freq,600,800,0,9.3501
freq,600,800,1,10.5440
freq,600,800,2,10.0085
freq,600,800,3,10.5192
freq,600,800,4,12.6704
freq,600,900,0,14.2014
freq,600,900,1,9.4166
freq,600,900,2,9.6996
freq,600,900,3,9.5832
freq,600,900,4,10.3420
freq,600,1000,0,9.6481
freq,600,1000,1,10.1011
freq,600,1000,2,10.8837
freq,600,1000,3,10.8222
freq,600,1000,4,11.0401
freq,700,100,0,11.3820
freq,700,100,1,14.7882
freq,700,100,2,12.2067
freq,700,100,3,12.6995
freq,700,100,4,12.1782
freq,700,200,0,14.5717
freq,700,200,1,12.9442
freq,700,200,2,14.7472
freq,700,200,3,14.8127
freq,700,200,4,13.2123
freq,700,300,0,13.0762
freq,700,300,1,12.9987
freq,700,300,2,13.4128
freq,700,300,3,13.4893
freq,700,300,4,14.6326
freq,700,400,0,15.0545
freq,700,400,1,13.8997
freq,700,400,2,14.2851
freq,700,400,3,12.2287
freq,700,400,4,14.0406
freq,700,500,0,10.8162
freq,700,500,1,13.1521
freq,700,500,2,14.6249
freq,700,500,3,12.3365
freq,700,500,4,13.4495
freq,700,600,0,13.1626
freq,700,600,1,12.0877
freq,700,600,2,11.7916
