method,test,from,to,run,time_ms
set_frequency,grid,500,300,2,11.1872
set_frequency,grid,500,300,3,11.7899
set_frequency,grid,500,300,4,11.8315
set_frequency,grid,500,400,0,11.3548
set_frequency,grid,500,400,1,10.8263
set_frequency,grid,500,400,2,12.0643
set_frequency,grid,500,400,3,13.9965
set_frequency,grid,500,400,4,12.3898
set_frequency,grid,500,500,0,0.5666
set_frequency,grid,500,500,1,0.6925
set_frequency,grid,500,500,2,1.0065
set_frequency,grid,500,500,3,0.8083
set_frequency,grid,500,500,4,0.9323
set_frequency,grid,500,600,0,14.7125
set_frequency,grid,500,600,1,11.7446
set_frequency,grid,500,600,2,12.1425
set_frequency,grid,500,600,3,11.4713
set_frequency,grid,500,600,4,11.9428
set_frequency,grid,500,700,0,11.7652
set_frequency,grid,500,700,1,11.7541
set_frequency,grid,500,700,2,11.6770
set_frequency,grid,500,700,3,11.7066
set_frequency,grid,500,700,4,11.6805
set_frequency,grid,500,800,0,11.0410
set_frequency,grid,500,800,1,11.6561
set_frequency,grid,500,800,2,11.1383
set_frequency,grid,500,800,3,11.7369
set_frequency,grid,500,800,4,11.2402
set_frequency,grid,500,900,0,10.8083
set_frequency,grid,500,900,1,11.7753
set_frequency,grid,500,900,2,11.2972
set_frequency,grid,500,900,3,10.5896
set_frequency,grid,500,900,4,10.3532
set_frequency,grid,500,1000,0,10.8632
set_frequency,grid,500,1000,1,12.1219
set_frequency,grid,500,1000,2,13.4053
set_frequency,grid,500,1000,3,11.7815
set_frequency,grid,500,1000,4,11.6416
set_frequency,grid,600,100,0,11.0711
set_frequency,grid,600,100,1,11.6780
set_frequency,grid,600,100,2,11.8127
set_frequency,grid,600,100,3,11.7622
set_frequency,grid,600,100,4,14.8162
set_frequency,grid,600,200,0,12.4348
set_frequency,grid,600,200,1,13.5203
set_frequency,grid,600,200,2,13.6572
set_frequency,grid,600,200,3,12.1275
set_frequency,grid,600,200,4,15.2459
set_frequency,grid,600,300,0,12.0596
set_frequency,grid,600,300,1,11.9907
