param,from,to,run,time_ms
freq,400,1000,2,13.9903
freq,400,1000,3,13.6103
freq,400,1000,4,15.0780
freq,500,100,0,13.2049
freq,500,100,1,10.3403
freq,500,100,2,10.5980
freq,500,100,3,10.7977
freq,500,100,4,13.6442
freq,500,200,0,13.7749
freq,500,200,1,13.6341
freq,500,200,2,14.0021
freq,500,200,3,13.6221
freq,500,200,4,13.7774
freq,500,300,0,13.3405
freq,500,300,1,14.4059
freq,500,300,2,15.1006
freq,500,300,3,13.7946
freq,500,300,4,10.5600
freq,500,400,0,10.5279
freq,500,400,1,11.1382
freq,500,400,2,13.1530
freq,500,400,3,13.9136
freq,500,400,4,13.6025
freq,500,500,0,1.5348
freq,500,500,1,1.5415
freq,500,500,2,1.9597
freq,500,500,3,1.5148
freq,500,500,4,1.4039
freq,500,600,0,13.9838
freq,500,600,1,13.9390
freq,500,600,2,10.8665
freq,500,600,3,10.7192
freq,500,600,4,10.6029
freq,500,700,0,13.4655
freq,500,700,1,13.8460
freq,500,700,2,14.2698
freq,500,700,3,14.4129
freq,500,700,4,14.0139
freq,500,800,0,13.8466
freq,500,800,1,14.4128
freq,500,800,2,13.1843
freq,500,800,3,13.9557
freq,500,800,4,14.9471
freq,500,900,0,13.5015
freq,500,900,1,13.4407
freq,500,900,2,13.6339
freq,500,900,3,15.4490
freq,500,900,4,13.3697
freq,500,1000,0,13.5338
freq,500,1000,1,13.1999
freq,500,1000,2,13.3317
freq,500,1000,3,14.0315
freq,500,1000,4,14.8258
freq,600,100,0,15.9115
freq,600,100,1,13.2486
freq,600,100,2,14.7203
freq,600,100,3,13.2568
freq,600,100,4,14.1276
freq,600,200,0,14.8054
freq,600,200,1,14.0055
freq,600,200,2,13.5128
freq,600,200,3,13.8465
freq,600,200,4,13.3424
freq,600,300,0,13.7922
freq,600,300,1,14.6533
freq,600,300,2,13.7976
freq,600,300,3,13.3518
freq,600,300,4,13.7337
freq,600,400,0,13.8172
freq,600,400,1,14.5713
freq,600,400,2,13.9301
freq,600,400,3,14.2787
freq,600,400,4,15.3279
freq,600,500,0,13.6825
freq,600,500,1,13.7869
freq,600,500,2,15.1609
freq,600,500,3,13.4721
freq,600,500,4,13.8307
freq,600,600,0,1.5573
freq,600,600,1,1.4706
freq,600,600,2,1.3994
freq,600,600,3,1.4591
freq,600,600,4,1.4089
freq,600,700,0,13.7123
freq,600,700,1,13.5160
freq,600,700,2,13.6774
freq,600,700,3,13.8512
freq,600,700,4,13.6678
freq,600,800,0,13.5892
freq,600,800,1,14.0268
freq,600,800,2,14.9549
freq,600,800,3,14.9204
freq,600,800,4,14.6034
freq,600,900,0,13.7111
freq,600,900,1,13.9127
freq,600,900,2,13.8826
freq,600,900,3,14.0469
freq,600,900,4,14.8439
freq,600,1000,0,13.7715
freq,600,1000,1,13.7927
freq,600,1000,2,12.9325
freq,600,1000,3,13.9855
freq,600,1000,4,13.3576
freq,700,100,0,13.6652
freq,700,100,1,13.9279
freq,700,100,2,14.0738
freq,700,100,3,13.3255
freq,700,100,4,14.5838
freq,700,200,0,14.1216
freq,700,200,1,13.6590
freq,700,200,2,14.7307
